circuit,protocol,iters,train_size,test_size,pval,data_time,d_tree_time,bias_sharing,bias_and,accidental_secret,accidental_gate
adder_4.txt,beaver,64,256,128,0.9999999999666181,1.48,0.96,2,0,0,0
adder_4.txt,beaver,64,512,256,0.9999999999982857,2.74,1.24,2,0,0,0
adder_4.txt,beaver,64,512,256,0.9999999999982893,2.8,1.27,2,0,0,0
adder_4.txt,beaver,64,512,256,0.9999999999982866,2.57,1.74,2,0,0,0
adder_4.txt,beaver,128,128,64,0.999997411466714,1.46,1.19,2,0,0,0
adder_4.txt,beaver,128,128,64,0.9999999990818607,1.42,1.2,2,0,0,0
adder_4.txt,beaver,128,128,64,0.9999999860327368,1.42,1.15,2,0,0,0
adder_4.txt,beaver,128,256,128,1.0,2.61,1.43,2,0,0,0
adder_4.txt,beaver,128,256,128,1.0,2.58,1.52,2,0,0,0
adder_4.txt,beaver,128,256,128,1.0,2.78,1.46,2,0,0,0
adder_4.txt,beaver,128,512,256,1.0,5.29,2.05,2,0,0,0
adder_4.txt,beaver,128,512,256,1.0,5.25,2.02,2,0,0,0
adder_4.txt,beaver,128,512,256,1.0,5.4,1.95,2,0,0,0
adder_4.txt,beaver,64,128,64,0.9999999749812436,0.81,0.87,3,0,0,0
adder_4.txt,beaver,64,128,64,0.9999781524151008,0.82,0.89,3,0,0,0
adder_4.txt,beaver,64,128,64,0.999999263438164,0.82,0.88,3,0,0,0
adder_4.txt,beaver,64,256,128,0.999999999994084,1.49,1.37,3,0,0,0
adder_4.txt,beaver,64,256,128,0.9999999999676684,2.09,1.07,3,0,0,0
adder_4.txt,beaver,64,256,128,0.9999999999924869,1.43,0.98,3,0,0,0
adder_4.txt,beaver,64,512,256,0.9999999999982859,2.93,1.31,3,0,0,0
adder_4.txt,beaver,64,512,256,0.999999999998292,2.83,1.32,3,0,0,0
adder_4.txt,beaver,64,512,256,0.9999999999982918,2.83,1.25,3,0,0,0
adder_4.txt,beaver,128,128,64,0.9999999999999958,1.52,1.27,3,0,0,0
adder_4.txt,beaver,128,128,64,0.9999999999999871,1.47,1.17,3,0,0,0
adder_4.txt,beaver,128,128,64,0.9999999999999993,1.43,1.22,3,0,0,0
adder_4.txt,beaver,128,256,128,1.0,2.71,1.5,3,0,0,0
adder_4.txt,beaver,128,256,128,1.0,2.82,2.09,3,0,0,0
adder_4.txt,beaver,128,256,128,1.0,2.71,1.51,3,0,0,0
adder_4.txt,beaver,128,512,256,1.0,5.76,2.06,3,0,0,0
adder_4.txt,beaver,128,512,256,1.0,5.55,2.08,3,0,0,0
adder_4.txt,beaver,128,512,256,1.0,5.44,2.17,3,0,0,0
adder_4.txt,beaver,64,128,64,0.9999999999977803,0.65,0.8,0,1,0,0
adder_4.txt,beaver,64,128,64,0.9999999999981294,0.82,0.9,0,1,0,0
adder_4.txt,beaver,64,128,64,0.9999999999980332,0.85,0.96,0,1,0,0
adder_4.txt,beaver,64,256,128,0.9999999999982853,2.19,1.26,0,1,0,0
adder_4.txt,beaver,64,256,128,0.9999999999982861,1.4,0.99,0,1,0,0
adder_4.txt,beaver,64,256,128,0.9999999999982888,1.32,0.98,0,1,0,0
adder_4.txt,beaver,64,512,256,0.9999999999982828,2.33,1.31,0,1,0,0
